Gender,breakfast,calories_day,coffee,cook,cuisine,drink,eating_out,employment,exercise,fruit_day,greek_food,healthy_feeling,ideal_diet_coded,income,italian_food,marital_status,on_off_campus,pay_meal_out,self_perception_weight,sports,veggies_day,vitamins,weight
2,1,0,1,2,0,1,3,3,1,5,5,2,8,5,5,1,1,2,4,1,5,1,85
1,1,3,2,3,1,2,2,2,1,4,4,5,3,4,4,2,1,4,4,1,4,2,70
1,1,2,2,1,2,2,2,2,1,4,4,6,2,6,5,1,1,4,3,1,4,2,86
1,1,3,2,3,0,2,1,3,2,2,2,4,2,1,5,2,1,5,2,2,1,2,86
2,1,3,2,2,1,1,2,3,1,4,5,4,2,4,5,1,2,2,3,1,4,1,82
1,1,3,1,3,1,2,2,2,2,5,3,3,2,5,3,1,1,5,4,2,4,2,62
1,1,0,1,3,1,1,5,2,0,4,5,7,6,5,5,2,1,3,3,2,3,2,82
1,1,3,2,3,1,1,3,3,1,5,5,3,2,4,5,2,1,3,4,1,5,1,57
1,1,3,2,1,1,2,2,1,1,5,1,9,7,3,5,1,3,2,6,1,5,2,53
1,1,4,2,3,1,1,1,2,1,5,5,1,2,5,5,2,1,3,5,1,5,1,50
2,1,3,2,5,1,2,1,3,3,4,3,9,1,5,4,2,1,2,2,1,3,2,120
1,1,3,2,2,1,2,4,2,2,5,4,8,2,5,5,2,2,3,4,1,5,2,56
2,1,3,2,3,1,2,2,3,2,5,4,2,1,5,3,1,2,3,4,1,5,1,84
2,2,0,2,4,1,2,4,3,1,3,1,6,2,4,5,2,1,3,5,1,1,2,82
1,1,3,1,3,0,1,1,2,2,5,2,7,2,1,3,2,1,2,4,2,5,1,66
2,1,3,2,3,1,2,2,3,1,3,3,8,1,6,5,2,1,6,5,1,4,2,77
1,1,3,1,3,1,1,3,2,3,5,3,6,2,5,5,2,1,2,4,2,5,1,61
2,1,2,2,4,1,2,2,3,2,2,3,4,3,5,5,1,1,3,3,0,2,2,75
2,1,3,2,5,1,2,4,2,1,2,2,5,1,6,4,1,1,2,1,1,3,2,80
2,1,3,1,3,3,0,1,2,1,3,5,8,7,6,5,2,1,5,5,1,2,2,89
2,1,3,1,5,2,1,1,2,1,4,4,2,2,6,5,1,1,5,5,1,3,1,84
2,2,3,2,4,1,1,2,2,3,3,2,4,1,4,5,1,1,3,4,1,4,1,84
1,1,2,2,1,1,2,4,3,0,4,5,5,2,4,5,2,1,3,3,2,4,2,48
1,2,3,2,3,1,1,2,3,1,4,3,8,2,6,3,1,1,3,4,1,3,2,57
2,1,2,1,3,1,1,2,2,1,3,1,9,5,5,5,2,1,4,5,1,3,2,73
2,1,4,2,4,1,2,2,3,1,5,3,9,6,6,4,2,1,6,5,1,5,1,80
2,1,2,2,2,2,1,2,2,2,3,1,4,7,5,5,1,1,3,4,2,2,1,82
2,1,2,2,3,0,2,5,3,2,5,3,9,7,5,5,1,1,4,5,2,4,1,76
1,1,3,2,3,1,1,3,2,2,3,2,7,2,5,4,2,3,3,4,1,5,1,52
2,1,3,2,2,1,2,2,3,2,5,5,5,1,4,5,1,4,3,3,2,5,1,93
1,1,3,1,4,2,1,2,3,3,3,5,7,2,3,5,1,1,3,4,2,3,1,58
1,1,3,2,4,1,1,3,3,1,5,3,1,7,6,5,1,1,4,5,1,4,1,68
1,1,2,2,1,1,1,2,3,1,5,3,2,6,4,5,2,2,3,5,1,5,2,68
1,1,3,2,3,0,2,4,2,1,5,3,7,5,6,5,1,1,3,3,1,5,2,68
1,1,4,2,2,6,2,2,2,3,3,5,4,2,6,5,2,1,4,3,1,4,2,77
1,1,3,2,3,1,1,2,3,2,4,3,6,2,5,5,2,1,3,3,1,3,2,68
2,1,0,2,5,1,2,5,3,1,5,1,3,2,6,4,2,2,3,6,1,3,2,80
2,1,3,1,3,1,2,2,3,1,3,5,10,2,6,5,1,1,3,5,1,4,2,64
1,1,4,2,2,1,1,4,2,1,5,5,6,3,3,5,1,1,3,1,2,5,1,55
1,1,3,2,4,1,2,2,2,0,5,5,6,1,6,5,1,1,3,4,2,4,2,61
1,1,2,1,3,1,1,1,0,0,4,5,6,2,3,5,2,0,2,0,2,4,1,45
1,1,4,2,1,1,1,2,2,1,5,5,8,7,5,5,1,2,6,4,1,5,1,77
1,1,3,2,3,1,1,2,2,0,5,5,3,6,6,5,2,1,4,6,2,5,2,51
2,1,2,1,3,1,2,2,2,2,4,4,4,5,4,5,1,1,3,4,1,4,2,76
2,1,0,2,4,1,1,2,0,1,5,3,8,7,6,4,1,1,3,5,1,5,2,66
2,2,0,1,4,1,2,2,3,1,5,4,2,7,5,5,1,1,3,6,1,5,1,70
2,1,3,2,3,2,1,2,0,2,3,4,9,2,3,5,2,1,6,6,2,3,2,68
2,1,3,2,5,1,1,2,3,1,4,1,8,4,1,3,1,3,3,4,2,5,2,77
2,1,4,1,3,1,1,3,3,1,5,5,8,5,6,5,1,1,3,5,1,4,1,84
2,1,4,2,1,1,1,5,0,1,5,5,1,3,5,5,1,1,3,5,1,5,2,91
2,1,0,2,4,1,2,3,0,0,4,4,5,3,3,5,1,3,3,3,2,4,1,120
2,1,3,2,1,2,1,3,3,1,5,5,10,7,6,5,1,1,6,5,1,5,1,75
1,2,2,2,3,0,2,5,3,1,4,3,8,5,3,5,1,1,2,4,1,4,2,87
2,1,4,2,3,1,1,4,3,1,5,4,1,2,6,5,1,2,4,5,1,5,1,80
1,1,4,2,2,1,1,3,2,1,4,5,9,2,5,5,1,1,3,5,1,4,1,64
1,1,3,2,1,2,2,2,2,2,5,5,4,6,5,5,1,2,4,4,1,5,1,70
1,1,0,2,2,1,2,2,3,0,5,5,7,1,6,5,1,2,3,4,1,4,2,70
1,1,4,2,2,1,2,5,3,1,5,4,3,6,6,5,1,1,3,5,1,5,1,61
1,1,2,2,2,0,1,2,2,2,3,3,2,2,4,4,2,3,2,5,2,3,1,54
